Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Копейщик	Копейщики	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50		0
Алебардщик	Алебардщики	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30		0
Стрелок	Стрелки	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY
Элитный Стрелок	Элитные Стрелки	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Стреляет дважды.	const_two_attacks | SHOOTING_ARMY
Грифон	Грифоны	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	Отвечает на две атаки.	DOUBLE_WIDE | FLYING_ARMY
Королевский Грифон	Королевские Грифоны	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Постоянно отвечает на атаки.	DOUBLE_WIDE|FLYING_ARMY
Рыцарь	Рыцари	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Крестоносец	Крестоносцы	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Бьёт дважды.	const_two_attacks
Монах	Монахи	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY
Фанатик	Фанатики	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Не имеет штрафа при рукопашной.	SHOOTING_ARMY | const_no_melee_penalty
Кавалерист	Кавалеристы	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Кавалерийский бонус.	DOUBLE_WIDE | const_jousting
Чемпион	Чемпионы	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Кавалерийский бонус.	DOUBLE_WIDE | const_jousting
Ангел	Ангелы	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	Ненавидит Дьяволов	FLYING_ARMY | const_raises_morale | KING_2
Архангел	Архангелы	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	(+1) к морали. Оживляет союзников. Ненавидит дьяволов.	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
Кентавр	Кентавры	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE
Капитан Кентавров	Капитаны Кентавров	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE
Гном	Гномы	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20% сопротивляемость магии.	0
Боевой Гном	Боевые Гномы	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40% сопротивляемость магии.	0
Лесной Эльф	Лесные Эльфы	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY
Великий Эльф	Великие Эльфы	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	Стреляет дважды.	SHOOTING_ARMY | const_two_attacks
Пегас	Пегасы	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	Подавляет магию.	DOUBLE_WIDE | FLYING_ARMY
Серебряный Пегас	Серебряные Пегасы	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	Подавляет магию.	DOUBLE_WIDE | FLYING_ARMY
Дендроид	Дендроиды	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	Приковывает врагов к месту где те стоят.	0
Дендроид-Воин	Дендроиды-Воины	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	Приковывает врагов к месту где те стоят.	0
Единорог	Единороги	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	Аура сопротивления магии. Ослепляет врагов.	DOUBLE_WIDE
Боевой Единорог	Боевые Единороги	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Аура сопротивления магии. Ослепляет врагов.	DOUBLE_WIDE
Зелёный Дракон	Зелёные Драконы	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	Иммунитет к магии 1-3 уровня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Золотой Дракон	Золотые Драконы	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	Иммунитет к магии1-4 уровня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Гремлин	Гремлины	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
Мастер-Гремлин	Мастер-Гремлины	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	Атака на расстоянии.	SHOOTING_ARMY
Каменная Горгулья	Каменные Горгульи	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY
Обсидиановая Горгулья	Обсидиановые Горгульи	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY
