	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Оррин	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Валеска	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Эдрик	10	20	Pikeman	2	3	Griffin	2	3	Griffin
Сильвия	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Лорд Хаарт	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Сорша	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Кристиан	10	20	Pikeman	1	1	Ballista	2	3	Griffin
Турис	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Рион	10	20	Pikeman	1	1	FirstAidTent	2	3	Griffin
Адель	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Катберт	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Аделаида	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Инхам	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Саня	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Лоинс	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Каитлин	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Мепхала	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Уфретин	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
Енова	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Роланд	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Торгрим	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Ивор	12	24	Centaur	3	6	WoodElf	3	6	WoodElf
Кланси	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Киррь	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Корониус	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Уланд	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Эллезар	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Джем	12	24	Centaur	1	1	FirstAidTent	3	6	WoodElf
Мальком	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Мелодиа	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Алагар	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Аерис	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Пигуедрам	3	5	StoneGargoyle	3	5	StoneGargoyle	3	5	StoneGargoyle
Тан	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Жосефина	30	40	ApprenticeGremlin	2	2	IronGolem	2	3	IronGolem
