Region Name	Campaign Name	Scenario Name	Map Area Name
"{ Южный порт}

 Королева Катерина уехала, чтобы заручиться военной поддержкой короля Гэвина Магнуса из Бракады. Другие военачальники разъезжают по области. Создайте базу для операций, восстановите народное ополчение, определите степень оккупации Нихона, и найдите их маршрут для вторжения."	Good1	G1a	Map Area 1
"{ Врата Ангелов}

 Донесения Ангелов из города Белое Перо заслуживают нашего изучения. Если слухи окажутся правдивыми, нам придётся обеспечить безопасность этого города, и, вероятно, убедить Ангелов объединиться с нами."	Good1	G1b	Map Area 2
"{ Скала Грифонов}

 Область Скалы Грифонов, место ежегодного размножения, из которого происходит практически вся популяция Грифонов Эрафии, в настоящее время находится под контролем объединённых сил Нихона и Кригана. Несколько поколений назад Грифоны были ключом к построению Эрафии, а сегодня они являются ключом к её восстановлению."	Good1	G1c	Map Area 3
"{ Бэтлстед}

 Первый шаг в нашей битве за освобождение Эрафии -- освободить столицу Стедвик от оккупации Нихона. Сделать это будет непросто, потому что Лорды Подземелий заблокировали горные проходы, ведущие в долину Стедвика."	Good2	G2a	Map Area 1
"{ Эофол}

 В дворец для Королевы Катерины прибывает письмо от Люцифера Кригана III, Главнокомандующего Эофола. В нем он сообщает, что у него у плену находится муж Катерины, Рональд Железный Кулак из Энрота, и выкуп за его спасение -- миллион золотом."	Good2	G2b	Map Area 2
"{ Болотные земли и Хиллбридж}

 Посол из Бракады приносит сообщение от своего вождя, Гэвина Магнуса, предлагающего помощь в освобождении Восточной Эрафии от мародёрствующих таталийских и крюлодских войск. Пора напомнить своим соседям, где проходят границы их земель."	Good2	G2c	Map Area 3
"{ Грайнрич и Огненный Берег}

 Теперь мы знаем, как Эрафия пала жертвой Нихона и Эофола. Они буквально прорыли туннели под Нихонским проливом, пробравшись в Гномьи туннели вдоль побережья Эрафии. Теперь мы должны заставить их воспользоваться этими туннелями снова -- на этот раз для того, чтобы навеки сбежать из Эрафии!"	Good2	G2d	Map Area 4
"{ Болотные земли}

 Вам предложен наёмнический контракт с королём Таталии Тралоском, который больше всего желает, чтобы его страна состояла не только из болот. После разгрома Эрафии он решил, что пришло время расширять границы Таталии."	Neutral1	N1a	Map Area 1
"{ Майнвелл}

 Граф Уинстон Богарус, вождь Крюлода, предложил вам наёмнический контракт, требующий совершения серии набегов на эрафийскую территорию. План заключается в том, чтобы награбить достаточно золота, на которые армия Крюлода сможет купить то, что потребуется... для другого."	Neutral1	N1b	Map Area 2
"{ Хиллбридж}

 Король Тралоск из Таталии и граф Богарус из Крюлода нуждаются в ваших услугах. Оба государства собираются заявить свои права на последнюю полоску земли, оставшуюся между ними. По иронии судьбы, ценность этой земли невелика. Вы должны решить, какому государству помочь. Выбор целиком за вами."	Neutral1	N1c	Map Area 3
"{ Форестлоу}

 Чародей пытается добраться до эрафийского форпоста с доказательством того, кто убил короля Грифоново Сердце. Сейчас он в безопасности, но его путь блокируют живые мертвецы, преданные новому королю. Необходимо сопроводить его на последнем этапе путешествия."	Good3	G3a	Map Area 1
"{ Из Изумрудных холмов в Вудгрув}

 Вы командуете объединёнными армиями Эрафии, Авлии и Бракады, а также Чародеями, которые решили сражаться с вами против Короля Грифоново Сердце. Силы живых мертвецов велики, но вы должны одержать победу!"	Good3	G3b	Map Area 2
"{ Гранитный сад}

 Это последняя битва. Наше присутствие уже начало восстанавливать жизнь в стране, однако мы должны уничтожить последнюю крепость смерти, куда отступил Король Грифоново Сердце. Пора вернуть мёртвых в их могилы."	Good3	G3c	Map Area 3
"{ Рионпоинт}

 До того, как Эрафия получит шанс обратиться к эльфам Авлии за помощью, мы решили нанести удар в центр силы Авлии, которым является королева Золотой Дракон. Если сильнейший союзник эльфов будет уничтожен, они не смогут предложить помощь Эрафии."	Evil1	E1a	Map Area 1
"{ Грайнрич}

 Наши силы преодолеют большую часть пути до столицы Эрафии, воспользовавшись подземными туннелями. Чтобы сохранить элемент внезапности, необходимо атаковать любое эрафийское поселение, которое встретится вам на пути. Для достижения своей цели воспользуйтесь огромной системой пещер, расположенной в этой области."	Evil1	E1b	Map Area 2
"{ Бэтлстед}

 Возьмите штурмом Стедвик, столицу Эрафии. Это будет нелегко, поскольку столица хорошо защищена. Что ещё хуже, войска под руководством Королевы Катерины уже на марше. Мы должны захватить Стедвик до её прибытия!"	Evil1	E1c	Map Area 3
"{ Гранитный сад}

 Король Грифоново Сердце, человек, изгнавший нас из Эрафии, мёртв. Нашествие Нихона и Эофола принесло нам дар смерти. Наконец мы можем создать свои армии и вторгнуться в Эрафию сами. Однако для начала нам потребуется тактик. Вам нужно найти могилу короля Грифоново Сердце."	Evil2	E2a	Map Area 1
"{ Изумрудные холмы}

 Мы нашли прекрасную местность рядом с границей Эрафии, где мы сможем набрать достаточно существ для наших армий, не привлекая особого внимания эрафийских войск. Создайте армию, однако поспешите -- она потребуется нам немедленно."	Evil2	E2b	Map Area 2
"{ Стронгуиллоу и Вудгрув}

 Этот негодяй Рыцарь Смерти не хочет разделить с нами славу, которую принесёт вторжение в Эрафию. Он считает, что, уклонившись от битвы, он убережёт свои земли от контратаки эрафийцев. Пора дать ему небольшой урок на тему повиновения."	Evil2	E2c	Map Area 3
"{ Форестбери}

 Время пришло. Мёртвый Король Грифоново Сердце выбрал этот момент для атаки. Войска из Дейджи ворвутся в Эрафию и разрушат её. Цель вашей атаки была выбрана самим Королём Грифоново Сердце. Вы дали обет победить."	Evil2	E2d	Map Area 4
"{ Кловерфилд}

 Чтобы объявить о своей независимости, нам нужен символ. Этим символом будет Грааль, который был потерян в этой местности много веков назад. Мы должны найти его, или наши планы исчезнут до того, как мы сможем реализовать их. У вас есть всего лишь три месяца на то, чтобы найти Грааль."	Secret1	S1a	Map Area 1
"{ Форестдейл}

 Путешествие в Вельнин было нелёгким, однако последний этап этого путешествия будет самым сложным. Рейнджер Риланд, у которого находится Грааль, должен избежать встречи с войсками Эрафии и Авлии, чтобы добраться до Вельнина. После этого он должен организовать строительство постоянного места для Грааля."	Secret1	S1b	Map Area 2
"{ Моссвуд}

 Грааль добрался до Вельнина, но теперь мы должны превратить этот город в столицу. Армии Эрафии и Авлии будут атаковать нас со всех сторон. Скоро мы докажем, что спорные земли уже не принадлежат им!"	Secret1	S1c	Map Area 3
