			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Adventure Spells																																	
																																	
Вызов корабля	Вызов корабля	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Вызов Корабля}

Вызывает существующий, дружественный, незанятый корабль из любого места мира в ваше местоположение.

Шансы на успех равны 50%.
"	"{Основной Вызов корабля}

Вызывает существующий, дружественный, незанятый корабль из любого места мира в ваше местоположение.

Шансы на успех равны 50%.
"	"{Продвинутый Вызов корабля}

Вызывает существующий, дружественный, незанятый корабль из любого места мира в ваше местоположение. Если кораблей нет, корабль создаётся.

Шансы на успех равны 75%.
"	"{Вызов корабля Эксперта}

Вызывает существующий, дружественный, незанятый корабль из любого места мира в ваше местоположение. Если кораблей нет, корабль создаётся.
"	 ADV_SPELL
Затопление корабля	Затопление корабля	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Затопление корабля}

Уничтожает принадлежащий вам корабль. Используйте с осторожностью, действие является необратимым.

Шансы на успех равны 50%.
"	"{Основное Затопление корабля}

Уничтожает принадлежащий вам корабль. Используйте с осторожностью, действие является необратимым.

Шансы на успех равны 50%.
"	"{Продвинутое Затопление корабля}

Уничтожает принадлежащий вам корабль. Используйте с осторожностью, действие является необратимым.

Шансы на успех равны 75%.
"	"{Затопление корабля Эксперта}

Уничтожает принадлежащий вам корабль. Используйте с осторожностью, действие является необратимым.
"	 ADV_SPELL
Видения	Видения	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Видения}

Даёт основные представления о силе противостоящей армии, героя или гарнизона.
"	"{Основные Видения}

Даёт основные представления о силе противостоящей армии, героя или гарнизона. При наличии бродящих поблизости монстров сообщает их точное число и позволяет узнать, не хотят ли они присоединиться к вашему герою."	"{Продвинутые видения}

Даёт основные представления о силе противостоящего гарнизона. При наличии бродящих поблизости монстров сообщает их точное число и позволяет узнать, не хотят ли они присоединиться к вашему герою. Позволяет просмотреть для находящегося рядом врага статистику первичных навыков героя, тип и количество существ, так, словно герой является частью вашего королевства.
"	"{Видения Эксперта}

Сообщает точное число бродящих поблизости монстров и позволяет узнать, не хотят ли они присоединиться к вашему герою. Позволяет просмотреть для находящегося рядом врага статистику первичных навыков героя, тип и количество существ, так, словно герой является частью вашего королевства, а также статистику для близлежащего города, тип и количество существ гарнизона.
"	 ADV_SPELL
Просмотр земли	Просмотр земли	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Просмотр земли}

Открывает творящему положение всех ресурсов.
"	"{Основной Просмотр земли}

Открывает творящему положение всех ресурсов.
"	"{Продвинутый Просмотр земли}

Открывает творящему положение всех ресурсов и шахт.
"	"{Просмотр земли Эксперта}

Открывает творящему положение всех ресурсов и шахт, а также всю топографию местности.
"	 ADV_SPELL
Маскировка	Маскировка	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Маскировка}

Даёт ложную информацию врагу, пытающемуся просмотреть вашего героя.
"	"{Основная Маскировка}

Заставляет выглядеть все подразделения вашей армии как ваше самое мощное подразделение для врага, пытающегося просмотреть вашего героя. Количество в каждой группе остаётся без изменений.
"	"{Продвинутая Маскировка}

Заставляет выглядеть все подразделения вашей армии как ваше самое мощное подразделение для врага, пытающегося просмотреть вашего героя. Для каждой группы выводится нулевое количество.
"	"{Маскировка Эксперта}

Заставляет выглядеть все подразделения вашей армии как самое мощное подразделение, связанное с вашим героем, для врага, пытающегося просмотреть вашего героя. Для каждой группы выводится нулевое количество.
"	 ADV_SPELL
Просмотр воздуха	Просмотр воздуха	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Просмотр воздуха}

Открывает творящему местоположение всех не открытых предметов.
"	"{Основной Просмотр воздуха}

Открывает творящему местоположение всех не открытых предметов.
"	"{Продвинутый Просмотр воздуха}

Открывает творящему местоположение всех не открытых, а также вражеских героев.
"	"{Просмотр воздуха Эксперта}

Открывает творящему местоположение всех не открытых, а также вражеских героев и городов.
"	 ADV_SPELL
