	Description		
Name	Basic	Advanced	Expert
Поиск Пути	"{Основной Поиск Пути}

Основной Поиск Пути снижает затраты на передвижение по пересеченной местности на 25%."	"{Продвинутый Поиск Пути}

Продвинутый Поиск Пути снижает затраты на передвижение по пересеченной местности на 50%."	"{Поиск Пути Эксперта}

Поиск Пути Эксперта снижает затраты на передвижение по пересеченной местности на 75%."
Стрельба	"{Основная Стрельба}

Основная Стрельба увеличивает ущерб, вызываемый нападением существ на расстоянии, на 10%."	"{Продвинутая Стрельба}

Продвинутая Стрельба увеличивает ущерб, вызываемый нападением существ на расстоянии, на 25%."	"{Стрельба Эксперта}

Стрельба Эксперта увеличивает ущерб, вызываемый нападением существ на расстоянии, на 50%."
Логистика	"{Основная Логистика}

Основная Логистика увеличивает баллы перемещения героя по суше на 10%."	"{Продвинутая Логистика}

Продвинутая Логистика увеличивает баллы перемещения героя по суше на 20%."	"{Логистика Эксперта}

Логистика Эксперта увеличивает баллы перемещения героя по суше на 30%."
Разведка	"{Основная Разведка}

Основная Разведка позволяет герою видеть на 1 квадрат дальше под покровом."	"{Продвинутая Разведка}

Продвинутая Разведка позволяет герою видеть на 2 квадрата дальше под покровом."	"{Разведка Эксперта}

Разведка Эксперта позволяет герою видеть на 3 квадрата дальше под покровом."
Дипломатия	"{Основная Дипломатия}

Основная Дипломатия позволяет вести переговоры с монстрами, которые слабее, чем ваша группа, и снижает цену капитуляции на 20%."	"{Продвинутая Дипломатия}

Продвинутая Дипломатия позволяет вести переговоры с монстрами, которые слабее, чем ваша группа, и снижает цену капитуляции на 40%."	"{Дипломатия Эксперта}

Дипломатия Эксперта позволяет вести переговоры с монстрами, которые слабее, чем ваша группа, и снижает цену капитуляции на 60%."
Навигация	"{Основная Навигация}

Основная Навигация увеличивает баллы перемещения героя по воде на 50%."	"{Продвинутая Навигация}

Продвинутая Навигация удваивает баллы перемещения героя по воде."	"{Навигация Эксперта}

Навигация Эксперта увеличивает баллы перемещения героя по воде на 150%."
Лидерство	"{Основное Лидерство}

Основное Лидерство поднимает боевой дух отряда героя на 1."	"{Продвинутое Лидерство}

Продвинутое Лидерство поднимает боевой дух отряда героя на 2."	"{Лидерство Эксперта}

Лидерство Эксперта поднимает боевой дух отряда героя на 3."
Мудрость	"{Основная Мудрость}

Основная Мудрость позволяет герою изучать заклинания третьего уровня."	"{Продвинутая Мудрость}

Продвинутая Мудрость позволяет герою изучать заклинания четвёртого уровня."	"{Мудрость Эксперта}

Мудрость Эксперта позволяет герою изучать заклинания пятого уровня."
Мистицизм	"{Основной Мистицизм}

Основной Мистицизм позволяет герою восстанавливать 2 балла заклинаний в день."	"{Продвинутый Мистицизм}

Продвинутый Мистицизм позволяет герою восстанавливать 3 балла заклинаний в день."	"{Мистицизм Эксперта}

Мистицизм Эксперта позволяет герою восстанавливать 4 балла заклинаний в день."
Удача	"{Основная Удача}

Основная Удача увеличивает удачу героя на 1."	"{Продвинутая Удача}

Продвинутая Удача увеличивает удачу героя на 2."	"{Удача Эксперта}

Удача Эксперта увеличивает удачу героя на 3."
Баллистика	"{Основная Баллистика}

Основная Баллистика предоставляет герою контроль над катапультой, давая возможность прицельных выстрелов с увеличенным ущербом."	"{Продвинутая Баллистика}

Продвинутая Баллистика предоставляет герою контроль над катапультой, позволяя сделать два прицельных выстрела с увеличенным ущербом."	"{Баллистика Эксперта}

Баллистика Эксперта предоставляет герою контроль над катапультой, позволяя сделать два прицельных выстрела с максимальным ущербом."
Зоркость	"{Основная Зоркость}

Основная Зоркость даёт герою 40% шанс изучить любое заклинание 1 и 2 уровня, используемое в бою."	"{Продвинутая Зоркость}

Продвинутая Зоркость даёт герою 50% шанс изучить любое заклинание вплоть до 3 уровня, используемое в бою."	"{Зоркость Эксперта}

Зоркость Эксперта даёт герою 60% шанс изучить любое заклинание вплоть до 4 уровня, используемое в бою."
Некромантия	"{Основная Некромантия}

Основная Некромантия позволяет восстановить из мёртвых в виде Скелетов до 10% существ, убитых в бою."	"{Продвинутая Некромантия}

Продвинута Некромантия позволяет восстановить из мёртвых в виде Скелетов до 20% существ, убитых в бою."	"{Некромантия Эксперта}

Некромантия Эксперта позволяет восстановить из мёртвых в виде Скелетов до 30% существ, убитых в бою."
Имущество	"{Основное Имущество}

При использовании Имущества герой передаёт в ваше распоряжение 125 золотых в день."	"{Продвинутое Имущество}

При использовании Имущества герой передаёт в ваше распоряжение 250 золотых в день."	"{Имущество Эксперта}

При использовании Имущества герой передаёт в ваше распоряжение 500 золотых в день."
Магия Огня	"{Основная Магия Огня}

Основная Магия Огня позволяет герою творить заклинания Огня по уменьшенной цене."	"{Продвинутая Магия Огня}

Продвинутая Магия Огня позволяет герою творить заклинания Огня по уменьшенной цене и с увеличенной эффективностью."	"{Магия Огня Эксперта}

Магия Огня Эксперта позволяет герою творить заклинания Огня по уменьшенной цене и с максимальной эффективностью."
Магия Воздуха	"{Основная Магия Воздуха}

Основная Магия Воздуха позволяет герою творить заклинания Воздуха по уменьшенной цене."	"{Продвинутая Магия Воздуха}

Продвинутая Магия Воздуха позволяет герою творить заклинания Воздуха по уменьшенной цене и с увеличенной эффективностью."	"{Магия Воздуха Эксперта}

Магия Воздуха Эксперта позволяет герою творить заклинания Воздуха по уменьшенной цене и с максимальной эффективностью."
Магия Воды	"{Основная Магия Воды}

Основная Магия Воды позволяет герою творить заклинания Воды по уменьшенной цене."	"{Продвинутая Магия Воды}

Продвинутая Магия Воды позволяет герою творить заклинания Воды по уменьшенной цене и с увеличенной эффективностью."	"{Магия Воды Эксперта}

Магия Воды Эксперта позволяет герою творить заклинания Воды по уменьшенной цене и с максимальной эффективностью."
Магия Земли	"{Основная Магия Земли}

Основная Магия Земли позволяет герою творить заклинания Земли по уменьшенной цене."	"{Продвинутая Магия Земли}

Продвинутая Магия Земли позволяет герою творить заклинания Земли по уменьшенной цене и с увеличенной эффективностью."	"{Магия Земли Эксперта}

Магия Земли Эксперта позволяет герою творить заклинания Земли по уменьшенной цене и с максимальной эффективностью."
Грамотность	"{Основная грамотность}

Основная Грамотность позволяет героям учить друг друга заклинаниям 1 и 2 уровня, эффективно обмениваясь заклинаниями между книгами заклинаний."	"{Продвинутая грамотность}

Продвинутая Грамотность позволяет героям учить друг друга заклинаниям вплоть до 3 уровня, эффективно обмениваясь заклинаниями между книгами заклинаний."	"{Грамотность Эксперта}

Грамотность Эксперта позволяет героям учить друг друга заклинаниям вплоть до 4 уровня, эффективно обмениваясь заклинаниями между книгами заклинаний."
Тактика	"{Основная Тактика}

Основная Тактика позволяет реорганизовывать свои отряды прямо перед боем, в пределах трёх рядов клеток от командующего героя."	"{Продвинутая Тактика}

Продвинутая Тактика позволяет реорганизовывать свои отряды прямо перед боем, в пределах пяти рядов клеток от командующего героя."	"{Тактика Эксперта}

Тактика Эксперта позволяет реорганизовывать свои отряды прямо перед боем, в пределах семи рядов клеток от командующего героя."
Артиллерия	"{Основная Артиллерия}

Основная Артиллерия даёт герою контроль над орудиями, позволяя сделать два выстрела с 50% вероятностью и нанести двойной ущерб."	"{Продвинутая Артиллерия}

Продвинутая Артиллерия даёт герою контроль над орудиями, позволяя сделать два выстрела с 75% вероятностью и нанести двойной ущерб."	"{Артиллерия Эксперта}

Артиллерия Эксперта даёт герою контроль над орудиями, позволяя сделать два выстрела, наносящих двойной ущерб."
Обучение	"{Основное Обучение}

Основное Обучение увеличивает приобретённый опыт героя на 5%."	"{Продвинутое Обучение}

Продвинутое Обучение увеличивает приобретённый опыт героя на 10%."	"{Обучение Эксперта}

Продвинутое обучение увеличивает приобретённый опыт героя на 15%."
Оружие	"{Основное Оружие}

Основное Оружие увеличивает все прямое повреждение, наносимое отрядами героя, на 10%."	"{Продвинутое Оружие}

Продвинутое Оружие увеличивает все прямое повреждение, наносимое отрядами героя, на 20%."	"{Оружие Эксперта}

Оружие Эксперта увеличивает все прямое повреждение, наносимое отрядами героя, на 30%."
Доспехи	"{Основные Доспехи}

Основные Доспехи уменьшают повреждение, наносимое отрядам героя, на 5%."	"{Продвинутые Доспехи}

Продвинутые Доспехи уменьшают повреждение, наносимое отрядам героя, на 10%."	"{Доспехи Эксперта}

Доспехи Эксперта уменьшают повреждение, наносимое отрядам героя, на 15%."
Интеллект	"{Основной Интеллект}

Основной Интеллект увеличивает нормальный максимум баллов заклинаний героя на 25%."	"{Продвинутый Интеллект}

Продвинутый Интеллект увеличивает нормальный максимум баллов заклинаний героя на 50%."	"{Интеллект Эксперта}

Интеллект Эксперта удваивает нормальный максимум баллов заклинаний героя."
Волшебство	"{Основное Волшебство}

Основное Волшебство заставляет заклинания героя наносить в бою дополнительные 5% повреждения."	"{Продвинутое Волшебство}

Продвинутое Волшебство заставляет заклинания героя наносить в бою дополнительные 10% повреждения."	"{Волшебство Эксперта}

Волшебство Эксперта заставляет заклинания героя наносить в бою дополнительные 15% повреждения."
Сопротивление	"{Основное Сопротивление}

Основное Сопротивление наделяет отряды героя 5% сопротивляемостью магии."	"{Продвинутое Сопротивление}

Продвинутое Сопротивление наделяет отряды героя 10% сопротивляемостью магии."	"{Сопротивление Эксперта}

Сопротивление Эксперта наделяет отряды героя 20% сопротивляемостью магии."
Первая помощь	"{Основная Первая Помощь}

Основная Первая Помощь даёт контроль над палаткой первой помощи герою, излечивая 50 пунктов повреждения у первого подразделения в выбранной группе."	"{Продвинутая Первая Помощь}

Продвинутая Первая Помощь даёт контроль над палаткой первой помощи герою, излечивая 75 пунктов повреждения у первого подразделения в выбранной группе."	"{Первая Помощь Эксперта}

Первая Помощь Эксперта даёт контроль над палаткой первой помощи герою, излечивая 100 пунктов повреждения у первого подразделения в выбранной группе."
