		
Wall Section	Hit Points (max is 3, only walls, towers, the gate, and the main building are used, unused must be 0)	
Castle		
Подъёмный мост	0	
Канат подъёмного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Центральная башня	2	
Охрана центральной башни	0	
Охрана нижней башни	0	
Охрана верхней башни	0	

Rampart		
Подъёмный мост	0	
Канат подъёмного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана Главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	

Tower		
Подъёмный мост	0	
Канат подъёмного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана Главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	

Inferno		
Подъёмный мост	0	
Канат подъёмного моста	0
Ров	0
Край рва	0
Задняя стена	0
Верхняя башня	2
Верхняя стена	2
Верхняя опора	0
Средняя верхняя стена	2
Ворота	2
Средняя нижняя стена	2
Нижняя опора	0
Нижняя стена	2
Нижняя башня	2
Главное здание	2
Охрана главного здания	0
Охрана нижней башни	0
Охрана верхней башни	0	

Necropolis		
Подъёмный мост	0	
Канат подъёмного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	

Dungeon		
Подъёмный мост	0	
Канат подъёмного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	

Stronghold		
Подъёмный мост	0	
Канат подъёмного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	

Fortress		
Подъёмный мост	0	
Канат подъёмного моста	0
Ров	0
Край рва	0
Задняя стена	0
Верхняя башня	2
Верхняя стена	2
Верхняя опора	0
Средняя верхняя стена	2
Ворота	2
Средняя нижняя стена	2
Нижняя опора	0
Нижняя стена	2
Нижняя башня	2
Главное здание	2
Охрана главного здания	0
Охрана нижней башни	0
Охрана верхней башни	0	

Conflux		
Подъёмный мост	0	
Канат подъёмного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2
Главное здание	2
Охрана главного здания	0
Охрана нижней башни	0
Охрана верхней башни	0
